target,drug,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,M1,M2,M3,M4,M5,M6,M7,M8,M9,dgidb
A2M,allopurinol,0,0,0,0,0,0,0,0,0,0,1,0.164062477387664,0,0,0.0311259816808484,0,0,0.343022823919288,0.231593473496225,8.40638839452216e-06,0
AAK1,allopurinol,0,0,0,0,0,0,0,0,0,1,0,0.00180845301985149,0,0,0,0,0,0.0858657590292955,0.272181183537625,3.09974413616426e-06,0
AASS,allopurinol,0,0,0,0,0,0,0,0,0,1,1,0.00275686142438298,0,0,0,0,0,0.343136623263875,0.875558081013069,0.00208940901504856,0
ABAT,allopurinol,0,0,0,0,0,0,0,0,1,0,0,0.00043270353359499,0,0,0,0,0,0.19440280251258,0.528370809318938,3.78474376797714e-06,0
ABCB1,allopurinol,0,0,0,0,0,0,0,0,1,0,1,0.251276911228394,0,0,0,0,0,0.35583246090776,0.0999269421219255,0.000150745550915155,0
ABCB11,allopurinol,0,0,0,0,0,0,0,0,1,1,0,0.0058316389327754,0,0,0,0,0,0.0290000035784815,0.12208783180453,0.000217972562467658,0
ABCC1,allopurinol,0,0,0,0,0,0,0,0,1,1,1,0.00444930657444337,0,0,0,0,0,0.0926473074107731,0.55394106664502,4.44040824041207e-06,0
ABCC2,allopurinol,0,0,0,0,0,0,0,1,0,0,0,0.00321419072819647,0,0,0,0,0,0.0858537068426281,0.173065995616527,1.81781245912687e-05,0
ABCC8,allopurinol,0,0,0,0,0,0,0,1,0,0,1,0.0142999231047328,0,0,0,0,0,0.0207685554531696,0.209026706713207,2.53410071611759e-06,0
ABCG2,allopurinol,0,0,0,0,0,0,0,1,0,1,0,0.283870210571975,0,0,0.0311259816808484,0,0,0.297465123166968,0.326081662472603,1.81130017352263e-05,0
ABL1,allopurinol,0,0,0,0,0,0,0,1,0,1,1,0.00048806171440881,0,0,0.0311259816808484,0,0,0.0410632711521246,0.133533566036204,1.59698081022833e-05,0
ABL2,allopurinol,0,0,0,0,0,0,0,1,1,0,0,0.00295974234358046,0,0,0,0,0,0.0802657716932176,0.0403441837811511,1.78147430220123e-05,0
ABO,allopurinol,0,0,0,0,0,0,0,1,1,0,1,0.00035267582331702,0,0,0,0,0,0.0384831894909139,0.130205373812809,0.000176453374591524,0
ACACA,allopurinol,0,0,0,0,0,0,0,1,1,1,0,0.0204445468397659,0,0,0,0,0,0.0321824831310952,0.95389236139297,8.16274771417685e-05,0
ACACB,allopurinol,0,0,0,0,0,0,0,1,1,1,1,0.00201777739659779,0,0,0,0,0,0.038835405915909,0.142868739345726,3.53348152465285e-07,0
ACAD10,allopurinol,0,0,0,0,0,0,1,0,0,0,0,0.0214895744582666,0,0,0,0,0,0.062830469108371,0.388586735936359,6.23143607978735e-05,0
ACAD8,allopurinol,0,0,0,0,0,0,1,0,0,1,0,0.110609284096769,0,0,0,0,0,0.242231820136001,0.64412695835701,0.000204108744852149,0
